City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
68,Milkovo,RU,54.7167,158.6167,-3.21,100,100,1.48,overcast clouds
69,Henties Bay,NA,-22.116,14.2845,65.91,83,55,11.21,broken clouds
70,Abu Samrah,SY,35.3029,37.1841,37.83,55,43,10.27,scattered clouds
71,Porto Novo,BJ,6.4965,2.6036,87.62,65,84,11.81,broken clouds
72,Sur,OM,22.5667,59.5289,78.69,44,54,7.43,broken clouds
73,Pisco,PE,-13.7,-76.2167,79.02,73,0,9.22,clear sky
74,Butaritari,KI,3.0707,172.7902,80.28,83,81,20.94,light rain
75,Marrakesh,MA,31.6315,-8.0083,64.47,36,40,6.91,scattered clouds
76,Torbay,CA,47.6666,-52.7314,33.89,94,100,17.27,light snow
77,Ridgecrest,US,35.6225,-117.6709,39.06,52,0,4.61,clear sky
78,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,0.19,78,75,4.47,broken clouds
79,Pimenta Bueno,BR,-11.6725,-61.1936,83.21,70,80,3.62,broken clouds
80,Boa Vista,BR,2.8197,-60.6733,85.98,58,40,11.5,scattered clouds
81,Hermanus,ZA,-34.4187,19.2345,75.79,61,0,20.58,clear sky
82,Samarai,PG,-10.6167,150.6667,76.59,93,100,8.52,light rain
83,Bima,ID,-8.4667,118.7167,76.75,93,98,3.06,overcast clouds
84,Atuona,PF,-9.8,-139.0333,79.07,79,15,19.33,few clouds
85,Lagoa,PT,39.05,-27.9833,56.12,60,94,13.33,overcast clouds
86,Deputatskiy,RU,69.3,139.9,-45.45,99,70,4.47,broken clouds
87,Wexford,IE,52.3342,-6.4575,48.22,86,83,15.01,broken clouds
88,Glendive,US,47.1053,-104.7125,42.76,65,0,8.01,clear sky
89,Victoria,HK,22.2855,114.1577,66.96,87,100,15.01,overcast clouds
90,Kirakira,SB,-10.4544,161.9205,80.06,84,100,6.24,overcast clouds
91,Airai,TL,-8.9266,125.4092,60.06,96,94,1.12,overcast clouds
92,Reyes,BO,-14.3167,-67.3833,78.76,89,100,0.0,overcast clouds
93,Afsin,TR,38.2477,36.914,14.7,80,100,5.01,overcast clouds
94,Chudovo,RU,59.1167,31.6833,32.63,94,100,7.09,overcast clouds
95,Bambous Virieux,MU,-20.3428,57.7575,80.85,74,40,4.61,scattered clouds
96,Roma,US,43.2128,-75.4557,41.68,70,75,14.97,broken clouds
97,Eyl,SO,7.9803,49.8164,75.9,80,45,13.89,scattered clouds
98,Byron Bay,AU,-28.65,153.6167,67.95,85,61,7.94,broken clouds
99,Hilo,US,19.7297,-155.09,71.33,85,100,5.75,light rain
100,Leningradskiy,RU,69.3833,178.4167,-23.26,93,100,5.1,overcast clouds
101,Talnakh,RU,69.4865,88.3972,-9.8,96,100,8.97,overcast clouds
102,Wahiawa,US,21.5028,-158.0236,71.92,71,100,10.36,overcast clouds
103,Port Lincoln,AU,-34.7333,135.8667,65.97,78,71,12.28,broken clouds
104,Zig,US,40.127,-92.7663,41.38,60,0,11.5,clear sky
105,Alindao,CF,5.0267,21.2088,88.14,14,24,2.57,few clouds
106,Yeppoon,AU,-23.1333,150.7333,74.98,70,27,21.45,scattered clouds
107,Olafsvik,IS,64.8945,-23.7142,24.85,74,100,19.17,light snow
108,Provideniya,RU,64.3833,-173.3,-17.34,98,97,3.96,overcast clouds
109,Yanaul,RU,56.2719,54.9309,15.49,95,100,10.13,light snow
110,Hambantota,LK,6.1241,81.1185,77.11,78,95,14.58,overcast clouds
111,Yulara,AU,-25.2406,130.9889,82.81,33,0,8.97,clear sky
112,Ilulissat,GL,69.2167,-51.1,-7.58,54,0,12.66,clear sky
113,Mataura,NZ,-46.1927,168.8643,50.49,93,87,7.29,light rain
114,Hithadhoo,MV,-0.6,73.0833,81.88,72,22,5.99,few clouds
115,Grindavik,IS,63.8424,-22.4338,26.55,86,75,32.21,snow
116,Beloha,MG,-25.1667,45.05,75.78,79,100,3.83,light rain
117,Sengiley,RU,53.9622,48.7944,17.67,83,71,10.92,broken clouds
118,Saint Augustine,US,29.8947,-81.3145,78.1,63,0,4.61,clear sky
119,San Jeronimo,PE,-11.9472,-75.2829,58.93,53,67,2.28,broken clouds
120,Kaeo,NZ,-35.1,173.7833,59.32,93,16,4.61,few clouds
121,Qaanaaq,GL,77.484,-69.3632,-26.46,68,16,6.22,few clouds
122,Ostrovnoy,RU,68.0531,39.5131,26.94,77,58,32.41,broken clouds
123,Sigli,ID,5.3848,95.9609,78.12,82,91,4.14,overcast clouds
124,East London,ZA,-33.0153,27.9116,70.74,94,40,3.44,light rain
125,Gudari,IN,19.35,83.7833,67.68,77,40,1.59,scattered clouds
126,Belmonte,BR,-15.8631,-38.8828,85.05,55,72,10.36,broken clouds
127,Nador,MA,35.174,-2.9287,59.25,72,75,8.05,broken clouds
128,Juruti,BR,-2.1522,-56.0922,84.15,68,90,2.64,overcast clouds
129,Cajamarca,PE,-7.1638,-78.5003,66.27,55,75,3.44,light rain
130,Winneba,GH,5.3511,-0.6231,82.9,71,93,11.12,overcast clouds
131,Khalkhal,IR,37.6189,48.5258,18.59,91,91,7.99,overcast clouds
132,Rio Gallegos,AR,-51.6226,-69.2181,73.45,33,75,31.07,broken clouds
133,Sibu,MY,2.3,111.8167,73.71,100,40,3.44,scattered clouds
134,Tiksi,RU,71.6872,128.8694,-40.13,98,53,6.26,broken clouds
135,Berlevag,NO,70.8578,29.0864,39.2,65,0,43.73,clear sky
136,Vardo,NO,70.3705,31.1107,33.78,80,0,33.38,clear sky
137,Hobyo,SO,5.3505,48.5268,77.43,81,14,13.67,few clouds
138,Tommot,RU,58.9564,126.2925,-19.16,98,100,2.57,overcast clouds
139,Saint-Philippe,RE,-21.3585,55.7679,78.39,83,54,13.53,light rain
140,Hofn,IS,64.2539,-15.2082,28.42,69,20,10.36,few clouds
141,Kyabe,TD,9.4515,18.9449,89.17,10,6,5.23,clear sky
142,Maltahohe,NA,-24.8333,16.9833,77.27,45,77,8.68,broken clouds
143,Cherskiy,RU,68.75,161.3,-23.76,98,100,7.45,overcast clouds
144,Dhidhdhoo,MV,6.8833,73.1,80.98,69,80,0.18,broken clouds
145,Cidreira,BR,-30.1811,-50.2056,80.71,68,1,13.53,clear sky
146,Vila Velha,BR,-20.3297,-40.2925,89.55,69,40,11.5,scattered clouds
147,Batticaloa,LK,7.7102,81.6924,77.86,84,64,7.85,broken clouds
148,Coahuayana,MX,18.7333,-103.6833,83.79,48,0,4.5,clear sky
149,Cayenne,GF,4.9333,-52.3333,84.24,74,75,16.11,broken clouds
150,Vanavara,RU,60.34,102.2797,3.87,98,100,2.39,overcast clouds
151,Xam Nua,LA,20.4197,104.0439,61.41,95,17,2.48,few clouds
152,Ahuimanu,US,21.4447,-157.8378,74.91,81,100,17.27,light rain
