City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
600,Barra Do Corda,BR,81.75,overcast clouds,-5.5,-45.25,Hotel Belcho
606,Mwandiga,TZ,72.64,light rain,-4.83,29.6581,Mulukoyoyo Ndogo Guesthouse
611,Kismayo,SO,77.31,clear sky,-0.3582,42.5454,Kismayo Hotel
612,Touros,BR,86.49,overcast clouds,-5.1989,-35.4608,Pousada Atlântico
615,Ambo,PE,72.55,broken clouds,-10.1308,-76.2047,Chauchinito
617,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Ocean Centre Hotel
623,Santa Vitoria Do Palmar,BR,89.13,scattered clouds,-33.5189,-53.3681,Hotel Brasil
628,Esquipulas,GT,81.01,broken clouds,14.5667,-89.35,Hotel San Judas
633,Inhambane,MZ,80.19,light rain,-23.865,35.3833,Hotel de Inhambane
637,Madang,PG,76.15,overcast clouds,-5.2246,145.7966,Madang Star International
644,Lorengau,PG,77.29,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
645,Talara,PE,88.56,clear sky,-4.5772,-81.2719,Hospedaje El Aypate
648,Chimbote,PE,77.86,broken clouds,-9.0853,-78.5783,Hostal Diamante Chimbote
652,Guarapuava,BR,83.01,few clouds,-25.3953,-51.4581,Hotel Libra
658,Winter Park,US,80.15,scattered clouds,28.6,-81.3392,Alfond Inn Rollins
661,Iquique,CL,77.04,scattered clouds,-20.2208,-70.1431,Hostal Vivar
662,Aracaju,BR,85.95,few clouds,-10.9111,-37.0717,Pousada Ideal
671,Houma,US,77.0,overcast clouds,29.5958,-90.7195,Courtyard by Marriott Houma
672,Cristalina,BR,77.47,overcast clouds,-16.7686,-47.6136,Goyás
673,Buchanan,LR,82.29,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
677,Kaabong,UG,74.55,clear sky,3.4836,34.1492,Sacavian
678,Domoni,KM,79.66,overcast clouds,-12.2569,44.5319,Hotel Djadid
680,Isangel,VU,78.51,light rain,-19.55,169.2667,Tanna Lodge
682,West Bay,KY,86.07,scattered clouds,19.3667,-81.4167,Bonnie's Arch
692,Omaruru,,80.74,broken clouds,-21.4333,15.9333,Central Hotel
